Trienio,Semestre,Chamada,Curso_Limpo,Campus,Turno,Sistema_ID,Sistema_Nome,Min,Max,Media,N
2023-2025,1°,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,38.131,99.156,61.245,13
2023-2025,1°,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Universal,-7.05,44.901,17.127,24
2023-2025,1°,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-12.58,6.842,-2.869,2
2023-2025,1°,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-54.846,-53.83,-54.338,2
2023-2025,1°,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-67.831,-19.227,-43.529,2
2023-2025,1°,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-25.422,-3.245,-18.18,4
2023-2025,1°,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-17.433,18.394,-1.601,9
2023-2025,1°,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,9,EP / Alta Renda / Não-PPI,-55.503,-4.817,-26.575,4
2023-2025,1°,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,-5.377,112.172,18.261,24
2023-2025,1°,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-22.112,-14.127,-18.12,2
2023-2025,1°,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-56.39,-56.39,-56.39,1
2023-2025,1°,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-62.778,-36.2,-51.109,3
2023-2025,1°,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-58.036,-13.042,-39.706,10
2023-2025,1°,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,98.047,146.303,110.835,9
2023-2025,1°,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Universal,48.138,74.131,59.416,7
2023-2025,1°,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,65.15,65.15,65.15,1
2023-2025,1°,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,23.271,23.271,23.271,1
2023-2025,1°,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-32.379,4.506,-9.2,4
2023-2025,1°,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,12.661,61.488,28.865,4
2023-2025,1°,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,65.505,97.824,81.664,2
2023-2025,1°,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,9,EP / Alta Renda / Não-PPI,-57.497,11.923,-20.795,8
2023-2025,1°,1°,ARQUIVOLOGIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Universal,-57.868,41.329,-16.511,13
2023-2025,1°,1°,ARQUIVOLOGIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,9,EP / Alta Renda / Não-PPI,-70.619,-31.332,-50.135,4
2023-2025,1°,1°,ARTES CÊNICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,23.679,42.35,31.286,3
2023-2025,1°,1°,ARTES CÊNICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-30.791,18.165,-6.313,2
2023-2025,1°,1°,ARTES CÊNICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,10,EP / Alta Renda / Não-PPI / PCD,-33.372,-33.372,-33.372,1
2023-2025,1°,1°,ARTES CÊNICAS (LICENCIATURA),DARCY RIBEIRO,DIURNO,1,Universal,-12.384,29.579,8.868,4
2023-2025,1°,1°,ARTES CÊNICAS (LICENCIATURA),DARCY RIBEIRO,NOTURNO,1,Universal,-53.375,16.725,-18.325,2
2023-2025,1°,1°,ARTES CÊNICAS (LICENCIATURA),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-62.337,-53.522,-57.93,2
2023-2025,1°,1°,ARTES CÊNICAS (LICENCIATURA),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-49.808,-49.808,-49.808,1
2023-2025,1°,1°,ARTES VISUAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,13.225,75.062,46.192,6
2023-2025,1°,1°,ARTES VISUAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-21.925,-21.925,-21.925,1
2023-2025,1°,1°,ARTES VISUAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-64.314,-16.574,-39.861,8
2023-2025,1°,1°,BIBLIOTECONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,-57.49,36.282,-21.287,11
2023-2025,1°,1°,BIBLIOTECONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-46.402,-46.402,-46.402,1
2023-2025,1°,1°,BIBLIOTECONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-54.547,-52.729,-53.518,3
2023-2025,1°,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,67.536,157.41,98.213,9
2023-2025,1°,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,64.205,64.205,64.205,1
2023-2025,1°,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,22.903,22.903,22.903,1
2023-2025,1°,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-47.168,-47.168,-47.168,1
2023-2025,1°,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-36.957,43.54,1.259,8
2023-2025,1°,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,135.827,166.528,146.251,9
2023-2025,1°,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,117.648,117.648,117.648,1
2023-2025,1°,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,3,EP / Baixa Renda / PPI,0.178,0.178,0.178,1
2023-2025,1°,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-38.263,32.989,3.006,5
2023-2025,1°,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,48.884,74.724,61.804,2
2023-2025,1°,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,118.288,118.288,118.288,1
2023-2025,1°,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,10,EP / Alta Renda / Não-PPI / PCD,42.861,42.861,42.861,1
2023-2025,1°,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,55.467,112.083,76.774,11
2023-2025,1°,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,48.441,48.441,48.441,1
2023-2025,1°,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-33.164,-3.3,-21.111,3
2023-2025,1°,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-37.151,-5.97,-21.621,4
2023-2025,1°,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,13.769,47.698,28.166,4
2023-2025,1°,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,10,EP / Alta Renda / Não-PPI / PCD,-31.841,-24.216,-28.028,2
2023-2025,1°,1°,CIÊNCIAS AMBIENTAIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Universal,-60.711,-15.392,-38.34,5
2023-2025,1°,1°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,78.793,119.236,100.085,9
2023-2025,1°,1°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,29.652,29.652,29.652,1
2023-2025,1°,1°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-78.848,-26.937,-58.384,3
2023-2025,1°,1°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-67.982,8.016,-29.983,2
2023-2025,1°,1°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,29.597,56.051,41.724,5
2023-2025,1°,1°,CIÊNCIAS BIOLÓGICAS (LICENCIATURA),DARCY RIBEIRO,NOTURNO,1,Universal,-14.729,54.739,15.396,15
2023-2025,1°,1°,CIÊNCIAS BIOLÓGICAS (LICENCIATURA),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-17.183,-17.183,-17.183,1
2023-2025,1°,1°,CIÊNCIAS BIOLÓGICAS (LICENCIATURA),DARCY RIBEIRO,NOTURNO,9,EP / Alta Renda / Não-PPI,-40.608,7.61,-14.369,4
2023-2025,1°,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,17.85,82.737,42.877,15
2023-2025,1°,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Universal,-27.789,31.88,-6.167,19
2023-2025,1°,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-0.627,14.496,6.934,2
2023-2025,1°,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-40.834,-24.325,-32.58,2
2023-2025,1°,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-24.064,-24.064,-24.064,1
2023-2025,1°,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-81.153,-5.417,-31.831,4
2023-2025,1°,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,7,EP / Alta Renda / PPI,-72.809,-37.134,-51.097,3
2023-2025,1°,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-50.333,11.211,-18.301,13
2023-2025,1°,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,9,EP / Alta Renda / Não-PPI,-36.706,-21.206,-28.391,6
2023-2025,1°,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,98.037,136.512,115.996,11
2023-2025,1°,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,83.431,83.431,83.431,1
2023-2025,1°,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-30.927,-30.927,-30.927,1
2023-2025,1°,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-17.699,30.922,7.658,4
2023-2025,1°,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,18.823,94.124,46.696,8
2023-2025,1°,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,10,EP / Alta Renda / Não-PPI / PCD,-32.205,-32.205,-32.205,1
2023-2025,1°,1°,CIÊNCIAS NATURAIS (LICENCIATURA),PLANALTINA,DIURNO,1,Universal,-78.391,13.11,-47.42,11
2023-2025,1°,1°,CIÊNCIAS SOCIAIS - ANTROPOLOGIA/SOCIOLOGIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,1,Universal,-15.532,69.84,13.536,27
2023-2025,1°,1°,CIÊNCIAS SOCIAIS - ANTROPOLOGIA/SOCIOLOGIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-34.923,-32.091,-33.507,2
2023-2025,1°,1°,CIÊNCIAS SOCIAIS - ANTROPOLOGIA/SOCIOLOGIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-30.926,-30.926,-30.926,1
2023-2025,1°,1°,CIÊNCIAS SOCIAIS - ANTROPOLOGIA/SOCIOLOGIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-70.919,-49.487,-60.203,2
2023-2025,1°,1°,CIÊNCIAS SOCIAIS - ANTROPOLOGIA/SOCIOLOGIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-91.423,-6.3,-31.077,12
2023-2025,1°,1°,CIÊNCIAS SOCIAIS - ANTROPOLOGIA/SOCIOLOGIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,10,EP / Alta Renda / Não-PPI / PCD,-32.205,-32.205,-32.205,1
2023-2025,1°,1°,COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,NOTURNO,1,Universal,-22.177,45.581,11.765,17
2023-2025,1°,1°,COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-23.781,-23.781,-23.781,1
2023-2025,1°,1°,COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,NOTURNO,9,EP / Alta Renda / Não-PPI,-44.036,-4.601,-18.052,5
2023-2025,1°,1°,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Universal,8.45,66.357,35.601,13
2023-2025,1°,1°,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-4.348,-4.348,-4.348,1
2023-2025,1°,1°,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),DARCY RIBEIRO,NOTURNO,7,EP / Alta Renda / PPI,-49.545,-18.438,-33.992,2
2023-2025,1°,1°,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),DARCY RIBEIRO,NOTURNO,9,EP / Alta Renda / Não-PPI,-83.245,15.877,-29.423,4
2023-2025,1°,1°,COMUNICAÇÃO SOCIAL - AUDIOVISUAL (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,69.433,134.182,91.85,4
2023-2025,1°,1°,COMUNICAÇÃO SOCIAL - AUDIOVISUAL (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-55.674,-55.674,-55.674,1
2023-2025,1°,1°,COMUNICAÇÃO SOCIAL - AUDIOVISUAL (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-37.751,26.778,-14.342,6
2023-2025,1°,1°,COMUNICAÇÃO SOCIAL - AUDIOVISUAL (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,41.977,41.977,41.977,1
2023-2025,1°,1°,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,56.963,86.414,67.864,4
2023-2025,1°,1°,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,44.425,44.425,44.425,1
2023-2025,1°,1°,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-29.329,-29.329,-29.329,1
2023-2025,1°,1°,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-41.458,-16.426,-28.44,4
2023-2025,1°,1°,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,50.59,50.59,50.59,1
2023-2025,1°,1°,DESIGN (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,87.407,110.73,96.504,4
2023-2025,1°,1°,DESIGN (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,3.136,3.136,3.136,1
2023-2025,1°,1°,DESIGN (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-55.242,-7.149,-32.294,3
2023-2025,1°,1°,DESIGN (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-44.318,-44.259,-44.288,2
2023-2025,1°,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,137.491,172.039,153.878,13
2023-2025,1°,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Universal,104.746,126.174,112.13,13
2023-2025,1°,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,85.357,112.75,99.054,2
2023-2025,1°,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,80.945,89.34,85.142,2
2023-2025,1°,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,3,EP / Baixa Renda / PPI,-87.773,5.701,-33.662,6
2023-2025,1°,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,3,EP / Baixa Renda / PPI,-40.663,-26.586,-33.624,2
2023-2025,1°,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,14.584,66.246,35.994,4
2023-2025,1°,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,5,EP / Baixa Renda / Não-PPI,-26.945,36.277,-7.049,6
2023-2025,1°,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,61.18,81.56,69.092,3
2023-2025,1°,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,7,EP / Alta Renda / PPI,31.885,58.328,39.097,5
2023-2025,1°,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,123.845,123.845,123.845,1
2023-2025,1°,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,9,EP / Alta Renda / Não-PPI,92.181,92.842,92.512,2
2023-2025,1°,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,10,EP / Alta Renda / Não-PPI / PCD,27.527,27.527,27.527,1
2023-2025,1°,1°,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,1,Universal,1.609,38.076,15.261,22
2023-2025,1°,1°,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-19.322,0.653,-10.052,3
2023-2025,1°,1°,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-69.589,-46.355,-60.977,3
2023-2025,1°,1°,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-86.267,-8.852,-50.906,16
2023-2025,1°,1°,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-16.974,0.769,-7.454,6
2023-2025,1°,1°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,53.833,90.752,64.103,9
2023-2025,1°,1°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,1,Universal,28.045,92.811,50.607,11
2023-2025,1°,1°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,39.99,39.99,39.99,1
2023-2025,1°,1°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,2,Cota para Negros,22.701,22.701,22.701,1
2023-2025,1°,1°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-31.522,17.682,-7.014,3
2023-2025,1°,1°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,5,EP / Baixa Renda / Não-PPI,-46.839,3.143,-22.337,5
2023-2025,1°,1°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-32.977,21.488,-16.755,5
2023-2025,1°,1°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,7,EP / Alta Renda / PPI,-46.024,-16.22,-32.808,4
2023-2025,1°,1°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,28.885,42.362,35.624,2
2023-2025,1°,1°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,9,EP / Alta Renda / Não-PPI,8.744,18.405,12.589,3
2023-2025,1°,1°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,10,EP / Alta Renda / Não-PPI / PCD,-43.64,-43.64,-43.64,1
2023-2025,1°,1°,ENGENHARIA AMBIENTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,-53.928,39.353,-14.567,15
2023-2025,1°,1°,ENGENHARIA AMBIENTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-51.192,-51.192,-51.192,1
2023-2025,1°,1°,ENGENHARIA AMBIENTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-44.993,-34.671,-39.832,2
2023-2025,1°,1°,ENGENHARIA CIVIL (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,71.072,110.0,85.217,9
2023-2025,1°,1°,ENGENHARIA CIVIL (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,26.849,26.849,26.849,1
2023-2025,1°,1°,ENGENHARIA CIVIL (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-46.606,-6.776,-30.771,3
2023-2025,1°,1°,ENGENHARIA CIVIL (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-20.258,41.376,2.388,4
2023-2025,1°,1°,ENGENHARIA CIVIL (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,19.123,44.103,35.097,3
2023-2025,1°,1°,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,120.918,167.223,138.636,9
2023-2025,1°,1°,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,70.718,70.718,70.718,1
2023-2025,1°,1°,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-33.752,-33.752,-33.752,1
2023-2025,1°,1°,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-67.012,55.801,-7.94,6
2023-2025,1°,1°,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,82.189,83.309,82.749,2
2023-2025,1°,1°,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,10,EP / Alta Renda / Não-PPI / PCD,25.163,25.163,25.163,1
2023-2025,1°,1°,ENGENHARIA DE PRODUÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,1,Universal,49.032,130.073,81.109,15
2023-2025,1°,1°,ENGENHARIA DE PRODUÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,2,Cota para Negros,-31.733,-31.733,-31.733,1
2023-2025,1°,1°,ENGENHARIA DE PRODUÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,5,EP / Baixa Renda / Não-PPI,-20.589,-16.273,-18.431,2
2023-2025,1°,1°,ENGENHARIA DE PRODUÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,7,EP / Alta Renda / PPI,-5.763,-5.763,-5.763,1
2023-2025,1°,1°,ENGENHARIA DE PRODUÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,9,EP / Alta Renda / Não-PPI,-30.464,60.182,29.552,6
2023-2025,1°,1°,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,7.513,63.406,40.047,10
2023-2025,1°,1°,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,-20.38,-20.38,-20.38,1
2023-2025,1°,1°,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,5,EP / Baixa Renda / Não-PPI,-55.125,-55.125,-55.125,1
2023-2025,1°,1°,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-54.018,-24.926,-39.472,2
2023-2025,1°,1°,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-73.187,2.297,-22.419,7
2023-2025,1°,1°,ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,1,Universal,97.075,144.38,118.454,11
2023-2025,1°,1°,ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,2,Cota para Negros,19.288,19.288,19.288,1
2023-2025,1°,1°,ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,7,EP / Alta Renda / PPI,-23.359,-23.359,-23.359,1
2023-2025,1°,1°,ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,9,EP / Alta Renda / Não-PPI,-6.585,58.012,25.431,7
