Trienio,Semestre,Curso_Limpo,Campus,Turno,Min,Max,Media,N
2020-2022,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-43.79,-16.981,-29.234,9
2020-2022,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,24.355,24.618,24.486,2
2020-2022,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-47.786,-44.997,-46.392,2
2020-2022,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,23.085,23.085,23.085,1
2020-2022,1°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-55.6,-55.6,-55.6,1
2020-2022,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-6.614,104.416,24.874,25
2020-2022,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-23.109,-7.802,-14.927,11
2020-2022,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-30.908,-28.154,-29.342,4
2020-2022,1°,AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-31.687,-31.128,-31.408,2
2020-2022,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,84.147,121.99,93.247,9
2020-2022,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,53.202,59.998,56.919,5
2020-2022,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,77.925,82.727,80.86,3
2020-2022,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,38.496,45.165,40.946,3
2020-2022,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,75.551,77.911,76.731,2
2020-2022,1°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,72.819,74.893,73.856,2
2020-2022,1°,ARQUIVOLOGIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,-82.039,32.901,-37.965,5
2020-2022,1°,ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL (BACHARELADO) *,DARCY RIBEIRO,DIURNO,-35.525,24.93,-7.676,4
2020-2022,1°,ARTES VISUAIS (BACHARELADO)*,DARCY RIBEIRO,DIURNO,29.41,58.914,44.048,4
2020-2022,1°,ARTES VISUAIS (BACHARELADO)*,DARCY RIBEIRO,DIURNO,-9.14,20.585,1.053,3
2020-2022,1°,ARTES VISUAIS (BACHARELADO)*,DARCY RIBEIRO,DIURNO,-12.106,-12.106,-12.106,1
2020-2022,1°,ARTES VISUAIS (LICENCIATURA)*,DARCY RIBEIRO,DIURNO,-90.01,54.376,-15.362,6
2020-2022,1°,BIBLIOTECONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-69.572,-22.639,-49.103,8
2020-2022,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,57.009,141.975,89.428,8
2020-2022,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,45.483,54.867,48.614,5
2020-2022,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,30.019,39.864,35.334,3
2020-2022,1°,BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,29.906,29.906,29.906,1
2020-2022,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,139.434,168.535,149.934,9
2020-2022,1°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,128.099,138.248,133.246,4
2020-2022,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,53.088,111.048,65.307,11
2020-2022,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,44.249,52.356,47.194,5
2020-2022,1°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,43.387,43.387,43.387,1
2020-2022,1°,CIÊNCIAS AMBIENTAIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,-88.634,18.579,-24.691,6
2020-2022,1°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,70.253,174.618,100.955,9
2020-2022,1°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,59.872,63.725,61.799,2
2020-2022,1°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,58.673,58.673,58.673,1
2020-2022,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,4.883,84.034,35.888,16
2020-2022,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,-62.176,42.671,-14.818,18
2020-2022,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,-24.636,1.432,-9.65,10
2020-2022,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,NOTURNO,-64.695,-64.695,-64.695,1
2020-2022,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,-42.938,-30.814,-36.6,3
2020-2022,1°,CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,-45.395,-44.257,-44.826,2
2020-2022,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,-7.672,175.444,66.386,44
2020-2022,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,-29.085,89.204,15.704,18
2020-2022,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,-36.059,79.385,13.872,7
2020-2022,1°,CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,76.331,79.075,77.703,2
2020-2022,1°,CIÊNCIAS NATURAIS (LICENCIATURA),PLANALTINA,DIURNO,-71.509,21.657,-29.766,9
2020-2022,1°,CIÊNCIAS NATURAIS (LICENCIATURA),PLANALTINA,NOTURNO,-62.526,-62.526,-62.526,1
2020-2022,1°,COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-2.433,74.983,36.702,10
2020-2022,1°,COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-18.407,-8.179,-12.323,3
2020-2022,1°,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),DARCY RIBEIRO,NOTURNO,-22.175,42.588,5.673,14
2020-2022,1°,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),DARCY RIBEIRO,NOTURNO,-32.939,-22.969,-27.91,3
2020-2022,1°,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA (BACHARELADO),DARCY RIBEIRO,DIURNO,62.384,77.335,69.86,2
2020-2022,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,45.852,176.907,139.548,14
2020-2022,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,86.54,126.039,99.229,12
2020-2022,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,121.16,126.368,123.199,5
2020-2022,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,NOTURNO,79.602,84.655,82.309,3
2020-2022,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,120.347,121.088,120.718,2
2020-2022,1°,DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,115.268,118.359,116.814,2
2020-2022,1°,EDUCAÇÃO FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,11.455,53.752,26.126,11
2020-2022,1°,EDUCAÇÃO FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,6.887,11.109,9.679,4
2020-2022,1°,EDUCAÇÃO FÍSICA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-10.111,20.985,0.892,11
2020-2022,1°,EDUCAÇÃO FÍSICA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-19.858,-19.858,-19.858,1
2020-2022,1°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,48.594,73.121,59.609,9
2020-2022,1°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,30.01,77.432,46.597,11
2020-2022,1°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,46.796,48.454,47.625,2
2020-2022,1°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,26.369,30.005,28.603,5
2020-2022,1°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,45.886,45.886,45.886,1
2020-2022,1°,ENFERMAGEM (BACHARELADO),CEILÂNDIA,DIURNO,24.977,24.977,24.977,1
2020-2022,1°,ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,44.149,44.149,44.149,1
2020-2022,1°,ENGENHARIA AMBIENTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-7.834,139.431,32.902,13
2020-2022,1°,ENGENHARIA AMBIENTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-38.433,-10.564,-23.069,6
2020-2022,1°,ENGENHARIA AMBIENTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-62.13,-53.307,-57.719,2
2020-2022,1°,ENGENHARIA CIVIL (BACHARELADO),DARCY RIBEIRO,DIURNO,-14.958,126.978,48.806,10
2020-2022,1°,ENGENHARIA CIVIL (BACHARELADO),DARCY RIBEIRO,DIURNO,-31.687,-15.377,-23.896,4
2020-2022,1°,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,120.321,160.318,134.914,9
2020-2022,1°,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,112.278,113.966,113.122,2
2020-2022,1°,ENGENHARIA DE PRODUÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,38.913,159.558,76.933,21
2020-2022,1°,ENGENHARIA DE PRODUÇÃO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-52.588,36.306,2.552,11
2020-2022,1°,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,-37.069,84.551,3.883,16
2020-2022,1°,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,-41.733,-41.733,-41.733,1
2020-2022,1°,ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,41.135,163.248,100.193,8
2020-2022,1°,ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,12.589,22.372,18.976,3
2020-2022,1°,ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-21.627,0.343,-8.868,4
2020-2022,1°,ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-27.726,88.81,2.025,4
2020-2022,1°,ENGENHARIA FLORESTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-50.298,54.606,-0.609,12
2020-2022,1°,ENGENHARIA MECÂNICA (BACHARELADO),DARCY RIBEIRO,DIURNO,58.439,162.86,116.589,19
2020-2022,1°,ENGENHARIA MECÂNICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-13.417,112.041,47.038,14
2020-2022,1°,ENGENHARIA MECÂNICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-33.846,93.073,9.699,3
2020-2022,1°,ENGENHARIA QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,59.512,108.454,76.579,9
2020-2022,1°,ENGENHARIA QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,29.534,52.048,35.72,6
2020-2022,1°,ENGENHARIA QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-8.304,15.306,3.501,2
2020-2022,1°,ENGENHARIA QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-20.255,-17.315,-18.785,2
2020-2022,1°,ENGENHARIAS (BACHARELADOS),GAMA,DIURNO,50.773,178.331,78.198,62
2020-2022,1°,ENGENHARIAS (BACHARELADOS),GAMA,DIURNO,32.935,50.361,40.806,27
2020-2022,1°,ENGENHARIAS (BACHARELADOS),GAMA,DIURNO,29.179,32.558,31.205,12
2020-2022,1°,ENGENHARIAS (BACHARELADOS),GAMA,DIURNO,27.893,28.799,28.404,4
2020-2022,1°,ESTATÍSTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,10.445,122.669,54.788,17
2020-2022,1°,ESTATÍSTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-49.048,8.504,-11.918,5
2020-2022,1°,ESTATÍSTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-67.587,-67.587,-67.587,1
2020-2022,1°,ESTATÍSTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-81.74,-81.74,-81.74,1
2020-2022,1°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,DIURNO,57.242,101.253,73.031,9
2020-2022,1°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,1.833,14.412,8.381,4
2020-2022,1°,FARMÁCIA (BACHARELADO),CEILÂNDIA,DIURNO,17.577,66.477,38.575,10
2020-2022,1°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,DIURNO,49.876,55.911,52.703,4
2020-2022,1°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,NOTURNO,0.176,1.274,0.725,2
2020-2022,1°,FARMÁCIA (BACHARELADO),CEILÂNDIA,DIURNO,6.831,13.574,9.893,4
2020-2022,1°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,DIURNO,38.781,46.082,41.409,4
2020-2022,1°,FARMÁCIA (BACHARELADO),CEILÂNDIA,DIURNO,5.076,5.356,5.216,2
2020-2022,1°,FARMÁCIA (BACHARELADO),DARCY RIBEIRO,DIURNO,34.281,34.281,34.281,1
2020-2022,1°,FARMÁCIA (BACHARELADO),CEILÂNDIA,DIURNO,4.602,4.837,4.72,2
2020-2022,1°,FILOSOFIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-65.778,92.933,-7.964,13
2020-2022,1°,FILOSOFIA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,2.725,2.725,2.725,1
2020-2022,1°,FISIOTERAPIA (BACHARELADO),CEILÂNDIA,DIURNO,33.173,91.814,54.324,11
2020-2022,1°,FISIOTERAPIA (BACHARELADO),CEILÂNDIA,DIURNO,17.473,32.444,24.217,5
2020-2022,1°,FISIOTERAPIA (BACHARELADO),CEILÂNDIA,DIURNO,13.842,14.145,13.994,2
2020-2022,1°,FISIOTERAPIA (BACHARELADO),CEILÂNDIA,DIURNO,11.525,11.525,11.525,1
2020-2022,1°,FONOAUDIOLOGIA (BACHARELADO),CEILÂNDIA,DIURNO,8.094,46.991,21.625,8
2020-2022,1°,FONOAUDIOLOGIA (BACHARELADO),CEILÂNDIA,DIURNO,-4.778,6.562,1.852,5
2020-2022,1°,FONOAUDIOLOGIA (BACHARELADO),CEILÂNDIA,DIURNO,-6.227,-6.227,-6.227,1
2020-2022,1°,FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,18.948,130.469,71.867,9
2020-2022,1°,FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-21.207,4.973,-10.08,4
2020-2022,1°,FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-21.215,-21.215,-21.215,1
2020-2022,1°,GEOFÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-30.09,113.042,10.832,4
2020-2022,1°,GEOGRAFIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-23.824,96.723,30.025,7
2020-2022,1°,GEOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-54.123,51.959,-2.655,10
2020-2022,1°,GEOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-91.239,-60.694,-75.966,2
2020-2022,1°,GESTÃO AMBIENTAL (BACHARELADO),PLANALTINA,NOTURNO,-46.76,31.975,-7.392,2
2020-2022,1°,GESTÃO DE AGRONEGÓCIO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-37.744,-19.741,-28.742,2
2020-2022,1°,GESTÃO DE POLÍTICAS PÚBLICAS (BACHARELADO),DARCY RIBEIRO,NOTURNO,-65.744,40.755,-20.929,14
2020-2022,1°,GESTÃO DO AGRONEGÓCIO (BACHARELADO),PLANALTINA,DIURNO,-96.675,4.58,-46.048,2
2020-2022,1°,HISTÓRIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,41.891,79.295,54.818,9
2020-2022,1°,HISTÓRIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,35.193,36.689,35.941,2
2020-2022,1°,HISTÓRIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,31.864,31.864,31.864,1
2020-2022,1°,HISTÓRIA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-53.803,59.169,0.923,9
2020-2022,1°,JORNALISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,-75.823,119.299,22.314,20
2020-2022,1°,JORNALISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,-31.119,80.812,43.451,3
2020-2022,1°,JORNALISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,71.678,71.678,71.678,1
2020-2022,1°,JORNALISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,70.953,70.953,70.953,1
2020-2022,1°,LICENCIATURA EM ARTES CÊNICAS*,DARCY RIBEIRO,DIURNO,-49.27,96.437,7.243,4
2020-2022,1°,LICENCIATURA EM CIÊNCIAS BIOLÓGICAS,DARCY RIBEIRO,NOTURNO,-34.711,141.546,21.334,15
2020-2022,1°,LICENCIATURA EM CIÊNCIAS BIOLÓGICAS,DARCY RIBEIRO,NOTURNO,-74.053,-36.925,-58.18,5
2020-2022,1°,LICENCIATURA EM FÍSICA,DARCY RIBEIRO,NOTURNO,-76.547,52.384,-16.757,10
2020-2022,1°,LICENCIATURA EM MATEMÁTICA,DARCY RIBEIRO,NOTURNO,-50.656,1.157,-13.6,4
2020-2022,1°,LICENCIATURA EM QUÍMICA,DARCY RIBEIRO,NOTURNO,0.306,40.6,24.769,6
2020-2022,1°,LÍNGUA E LITERATURA JAPONESA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-53.013,-14.325,-33.669,2
2020-2022,1°,LÍNGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-55.904,-27.428,-41.322,3
2020-2022,1°,LÍNGUA FRANCESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-46.285,-4.072,-28.825,3
2020-2022,1°,LÍNGUA FRANCESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,33.075,33.075,33.075,1
2020-2022,1°,LÍNGUA INGLESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,22.431,60.504,36.915,4
2020-2022,1°,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,33.307,56.705,47.369,6
2020-2022,1°,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-79.901,19.512,-19.24,6
2020-2022,1°,MATEMÁTICA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,31.531,86.792,50.757,8
2020-2022,1°,MATEMÁTICA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,12.702,20.668,16.276,3
2020-2022,1°,MATEMÁTICA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,11.282,11.282,11.282,1
2020-2022,1°,MEDICINA (BACHARELADO),DARCY RIBEIRO,DIURNO,183.5,209.07,192.694,8
2020-2022,1°,MEDICINA (BACHARELADO),DARCY RIBEIRO,DIURNO,182.172,183.265,182.718,2
2020-2022,1°,MEDICINA (BACHARELADO),DARCY RIBEIRO,DIURNO,181.429,181.429,181.429,1
2020-2022,1°,MEDICINA (BACHARELADO),DARCY RIBEIRO,DIURNO,180.693,180.693,180.693,1
2020-2022,1°,MEDICINA VETERINÁRIA (BACHARELADO),DARCY RIBEIRO,DIURNO,68.525,134.95,92.029,9
2020-2022,1°,MEDICINA VETERINÁRIA (BACHARELADO),DARCY RIBEIRO,DIURNO,59.668,62.854,61.414,3
2020-2022,1°,MUSEOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-45.669,38.698,-6.976,5
2020-2022,1°,MÚSICA (BACHARELADO)*,DARCY RIBEIRO,DIURNO,7.205,28.19,17.698,2
2020-2022,1°,MÚSICA (LICENCIATURA)*,DARCY RIBEIRO,DIURNO,-27.39,-27.39,-27.39,1
2020-2022,1°,NUTRIÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,59.022,91.433,71.934,7
2020-2022,1°,NUTRIÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,45.755,50.952,48.61,5
2020-2022,1°,NUTRIÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,44.075,44.706,44.39,2
2020-2022,1°,NUTRIÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,42.604,43.889,43.246,2
2020-2022,1°,ODONTOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,97.52,129.466,108.977,6
2020-2022,1°,ODONTOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,86.179,88.464,87.322,2
2020-2022,1°,ODONTOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,82.259,85.361,83.81,2
2020-2022,1°,ODONTOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,74.568,78.447,76.086,3
2020-2022,1°,PEDAGOGIA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-9.603,56.526,9.761,16
2020-2022,1°,PEDAGOGIA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-82.573,9.451,-37.566,12
2020-2022,1°,PEDAGOGIA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-14.004,-11.55,-12.827,3
2020-2022,1°,PEDAGOGIA (LICENCIATURA),DARCY RIBEIRO,NOTURNO,-86.402,-86.402,-86.402,1
2020-2022,1°,PEDAGOGIA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-15.484,-15.484,-15.484,1
2020-2022,1°,PEDAGOGIA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-19.303,-19.303,-19.303,1
2020-2022,1°,PSICOLOGIA (BACHARELADO / LICENCIATURA / PSICÓLOGO),DARCY RIBEIRO,DIURNO,105.646,176.006,134.5,12
2020-2022,1°,PSICOLOGIA (BACHARELADO / LICENCIATURA / PSICÓLOGO),DARCY RIBEIRO,DIURNO,98.022,105.416,101.15,3
2020-2022,1°,QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,54.059,126.092,86.482,7
2020-2022,1°,QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,19.693,32.75,25.91,5
2020-2022,1°,QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,12.284,12.565,12.424,2
2020-2022,1°,QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,8.535,9.522,9.029,2
2020-2022,1°,QUÍMICA TECNOLÓGICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-29.361,35.844,5.084,4
2020-2022,1°,RELAÇÕES INTERNACIONAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,95.161,150.831,116.23,10
2020-2022,1°,RELAÇÕES INTERNACIONAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,92.92,94.591,93.756,2
2020-2022,1°,RELAÇÕES INTERNACIONAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,91.841,91.841,91.841,1
2020-2022,1°,RELAÇÕES INTERNACIONAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,90.638,90.638,90.638,1
2020-2022,1°,SAÚDE COLETIVA (BACHARELADO),DARCY RIBEIRO,NOTURNO,-67.854,-26.878,-49.372,7
2020-2022,1°,SAÚDE COLETIVA (BACHARELADO),CEILÂNDIA,DIURNO,-84.455,-10.106,-49.445,12
2020-2022,1°,SERVIÇO SOCIAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-37.204,18.722,-12.52,9
2020-2022,1°,SERVIÇO SOCIAL (BACHARELADO),DARCY RIBEIRO,NOTURNO,9.757,9.757,9.757,1
2020-2022,1°,SERVIÇO SOCIAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-46.273,-42.146,-44.21,2
2020-2022,1°,"TEORIA, CRÍTICA E HISTÓRIA DA ARTE (BACHARELADO)",DARCY RIBEIRO,NOTURNO,-64.852,-7.391,-34.752,4
2020-2022,1°,TERAPIA OCUPACIONAL (BACHARELADO),CEILÂNDIA,DIURNO,-28.652,51.395,0.3,14
2020-2022,1°,TERAPIA OCUPACIONAL (BACHARELADO),CEILÂNDIA,DIURNO,-42.695,-31.041,-34.472,6
2020-2022,1°,TERAPIA OCUPACIONAL (BACHARELADO),CEILÂNDIA,DIURNO,-43.753,-43.753,-43.753,1
2020-2022,1°,TURISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,-83.422,20.419,-36.05,7
2020-2022,2°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,-5.701,-2.012,-3.566,5
2020-2022,2°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,-13.28,-5.886,-8.31,5
2020-2022,2°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,-22.721,-13.343,-18.086,5
2020-2022,2°,ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,-25.255,-24.547,-24.968,3
2020-2022,2°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,50.544,56.11,52.112,4
2020-2022,2°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-10.544,-7.304,-9.206,3
2020-2022,2°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-11.425,-10.998,-11.212,2
2020-2022,2°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,46.884,46.884,46.884,1
2020-2022,2°,ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,NOTURNO,-13.67,-13.67,-13.67,1
2020-2022,2°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,110.774,111.009,110.892,2
2020-2022,2°,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,106.916,106.916,106.916,1
2020-2022,2°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-28.517,-19.188,-24.268,7
2020-2022,2°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-34.649,-28.8,-30.784,4
2020-2022,2°,CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-38.623,-37.669,-38.146,2
2020-2022,2°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,36.259,43.684,39.119,5
2020-2022,2°,CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,29.988,35.304,32.165,5
