Trienio,Semestre,Curso,Curso_Limpo,Campus,Turno,Min,Max,Media,N
2023-2025,1º,ENGENHARIA QUÍMICA (BACHARELADO),ENGENHARIA QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,51.716,135.786,80.587,12
2023-2025,1º,ESTATÍSTICA (BACHARELADO),ESTATÍSTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,14.483,111.408,51.033,15
2023-2025,1º,FARMÁCIA (BACHARELADO),FARMÁCIA (BACHARELADO),DARCY RIBEIRO,DIURNO,18.047,93.959,51.637,27
2023-2025,1º,FILOSOFIA (BACHARELADO/LICENCIATURA),FILOSOFIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-100.426,-3.548,-38.814,10
2023-2025,1º,FILOSOFIA (LICENCIATURA),FILOSOFIA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-52.159,5.216,-27.125,3
2023-2025,1º,FISIOTERAPIA (BACHARELADO),FISIOTERAPIA (BACHARELADO),DARCY RIBEIRO,DIURNO,30.23,81.869,44.543,11
2023-2025,1º,FONOAUDIOLOGIA (BACHARELADO),FONOAUDIOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,16.721,40.508,26.517,8
2023-2025,1º,FÍSICA (BACHARELADO),FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,14.167,97.592,43.861,13
2023-2025,1º,FÍSICA (LICENCIATURA),FÍSICA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-62.273,125.678,24.071,5
2023-2025,1º,GEOFÍSICA (BACHARELADO),GEOFÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-47.993,45.309,-0.79,4
2023-2025,1º,GEOGRAFIA (BACHARELADO/LICENCIATURA),GEOGRAFIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-90.016,129.343,-21.763,12
2023-2025,1º,GEOLOGIA (BACHARELADO),GEOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-63.489,80.103,14.12,15
2023-2025,1º,GESTÃO DE AGRONEGÓCIO (BACHARELADO),GESTÃO DE AGRONEGÓCIO (BACHARELADO),DARCY RIBEIRO,DIURNO,-46.176,16.69,-16.538,9
2023-2025,1º,GESTÃO DE POLÍTICAS PÚBLICAS (BACHARELADO),GESTÃO DE POLÍTICAS PÚBLICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,-2.832,64.854,16.531,11
2023-2025,1º,GESTÃO DO AGRONEGÓCIO (BACHARELADO),GESTÃO DO AGRONEGÓCIO (BACHARELADO),DARCY RIBEIRO,DIURNO,-82.791,-28.816,-54.861,10
2023-2025,1º,HISTÓRIA (BACHARELADO/LICENCIATURA),HISTÓRIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,47.472,96.499,62.423,9
2023-2025,1º,HISTÓRIA (LICENCIATURA),HISTÓRIA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-85.388,45.426,-22.875,15
2023-2025,1º,JORNALISMO (BACHARELADO),JORNALISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,85.895,103.7,94.266,4
2023-2025,1º,LETRAS PORTUGUÊS DO BRASIL COMO SEG. LÍNGUA (LICENCIATURA),LETRAS PORTUGUÊS DO BRASIL COMO SEG. LÍNGUA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-75.904,-4.147,-41.017,9
2023-2025,1º,LETRAS TRADUÇÃO ESPANHOL (BACHARELADO),LETRAS TRADUÇÃO ESPANHOL (BACHARELADO),DARCY RIBEIRO,DIURNO,-56.271,-56.271,-56.271,1
2023-2025,1º,LETRAS TRADUÇÃO FRANCÊS (BACHARELADO),LETRAS TRADUÇÃO FRANCÊS (BACHARELADO),DARCY RIBEIRO,DIURNO,-18.595,-18.595,-18.595,1
2023-2025,1º,LETRAS TRADUÇÃO INGLÊS (BACHARELADO),LETRAS TRADUÇÃO INGLÊS (BACHARELADO),DARCY RIBEIRO,DIURNO,-75.983,32.724,-18.763,8
2023-2025,1º,LÍNGUA E LITERATURA JAPONESA (LICENCIATURA),LÍNGUA E LITERATURA JAPONESA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-83.555,-45.663,-62.93,3
2023-2025,1º,LÍNGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO - AMERICANA (LICENCIATURA),LÍNGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO,DARCY RIBEIRO,DIURNO,-79.029,-60.693,-69.508,3
2023-2025,1º,LÍNGUA FRANCESA (BACHARELADO/LICENCIATURA),LÍNGUA FRANCESA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-87.339,-26.043,-52.361,6
2023-2025,1º,LÍNGUA INGLESA (BACHARELADO/LICENCIATURA),LÍNGUA INGLESA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,15.306,83.036,36.712,5
2023-2025,1º,LÍNGUA PORTUGUESA (BACHARELADO/LICENCIATURA),LÍNGUA PORTUGUESA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,46.683,88.696,60.263,6
2023-2025,1º,LÍNGUA PORTUGUESA (LICENCIATURA),LÍNGUA PORTUGUESA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-56.955,23.041,-15.781,7
2023-2025,1º,LÍNGUAS ESTRANGEIRAS APLICADAS (BACHARELADO),LÍNGUAS ESTRANGEIRAS APLICADAS (BACHARELADO),DARCY RIBEIRO,DIURNO,-60.26,-0.938,-29.205,11
2023-2025,1º,MATEMÁTICA (BACHARELADO/LICENCIATURA),MATEMÁTICA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-20.737,105.88,44.416,14
2023-2025,1º,MATEMÁTICA (LICENCIATURA),MATEMÁTICA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-51.641,31.378,-15.259,7
2023-2025,1º,MEDICINA (BACHARELADO),MEDICINA (BACHARELADO),DARCY RIBEIRO,DIURNO,166.75,190.334,173.929,9
2023-2025,1º,MEDICINA VETERINÁRIA (BACHARELADO),MEDICINA VETERINÁRIA (BACHARELADO),DARCY RIBEIRO,DIURNO,66.643,99.685,80.866,9
2023-2025,1º,MUSEOLOGIA (BACHARELADO),MUSEOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-79.405,19.145,-20.969,6
2023-2025,1º,MÚSICA (BACHARELADO)*,MÚSICA (BACHARELADO)*,DARCY RIBEIRO,DIURNO,-2.409,65.653,31.622,2
2023-2025,1º,MÚSICA (LICENCIATURA)*,MÚSICA (LICENCIATURA)*,DARCY RIBEIRO,DIURNO,-15.971,132.273,48.549,4
2023-2025,1º,NUTRIÇÃO (BACHARELADO),NUTRIÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,70.097,99.32,84.562,7
2023-2025,1º,ODONTOLOGIA (BACHARELADO),ODONTOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,91.436,127.254,111.576,6
2023-2025,1º,PEDAGOGIA (LICENCIATURA),PEDAGOGIA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-24.607,65.014,10.584,22
2023-2025,1º,PSICOLOGIA (BACHARELADO/LICENCIATURA/PSICÓLOGO),PSICOLOGIA (BACHARELADO/LICENCIATURA/PSICÓLOGO),DARCY RIBEIRO,DIURNO,92.692,149.897,105.523,11
2023-2025,1º,QUÍMICA (BACHARELADO),QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,5.562,107.231,47.596,9
2023-2025,1º,QUÍMICA (LICENCIATURA),QUÍMICA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-54.702,44.043,-1.839,4
2023-2025,1º,QUÍMICA TECNOLÓGICA (BACHARELADO),QUÍMICA TECNOLÓGICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-30.086,126.278,26.45,7
2023-2025,1º,RELAÇÕES INTERNACIONAIS (BACHARELADO),RELAÇÕES INTERNACIONAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,105.105,162.477,121.308,11
2023-2025,1º,SAÚDE COLETIVA (BACHARELADO),SAÚDE COLETIVA (BACHARELADO),DARCY RIBEIRO,DIURNO,-73.062,9.485,-43.703,20
2023-2025,1º,SERVIÇO SOCIAL (BACHARELADO),SERVIÇO SOCIAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-61.117,58.364,-17.56,18
2023-2025,1º,TEORIA CRÍTICA E HISTÓRIA DA ARTE (BACHARELADO),TEORIA CRÍTICA E HISTÓRIA DA ARTE (BACHARELADO),DARCY RIBEIRO,DIURNO,-22.04,8.621,-6.709,2
2023-2025,1º,TERAPIA OCUPACIONAL (BACHARELADO),TERAPIA OCUPACIONAL (BACHARELADO),DARCY RIBEIRO,DIURNO,2.706,46.76,14.439,11
2023-2025,1º,TURISMO (BACHARELADO),TURISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,-62.252,51.489,-31.225,14
2022-2024,1º,(BACHARELADOS)**,(BACHARELADOS)**,DARCY RIBEIRO,DIURNO,51.901,126.005,75.465,97
2022-2024,1º,ADMINISTRAÇÃO (BACHARELADO),ADMINISTRAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,-38.595,89.957,11.549,60
2022-2024,1º,AGRONOMIA (BACHARELADO),AGRONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-48.862,111.678,1.155,49
2022-2024,1º,ARQUITETURA E URBANISMO (BACHARELADO),ARQUITETURA E URBANISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,16.573,125.153,71.638,23
2022-2024,1º,ARQUIVOLOGIA (BACHARELADO),ARQUIVOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-51.975,4.385,-30.898,10
2022-2024,1º,ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL (BACHARELADO),ARTES CÊNICAS,DARCY RIBEIRO,DIURNO,47.418,70.599,57.683,4
2022-2024,1º,ARTES VISUAIS (BACHARELADO),ARTES VISUAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,15.194,74.696,34.462,6
2022-2024,1º,ARTES VISUAIS (BACHARELADO)*,ARTES VISUAIS (BACHARELADO)*,DARCY RIBEIRO,DIURNO,12.612,12.638,12.625,2
2022-2024,1º,BIBLIOTECONOMIA (BACHARELADO),BIBLIOTECONOMIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-51.958,33.575,-10.668,12
2022-2024,1º,BIOTECNOLOGIA (BACHARELADO),BIOTECNOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,30.328,113.585,64.477,19
2022-2024,1º,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),CIÊNCIA DA COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,126.977,151.587,137.478,16
2022-2024,1º,CIÊNCIA POLÍTICA (BACHARELADO),CIÊNCIA POLÍTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,28.82,85.436,46.636,19
2022-2024,1º,CIÊNCIAS AMBIENTAIS (BACHARELADO),CIÊNCIAS AMBIENTAIS (BACHARELADO),DARCY RIBEIRO,DIURNO,-71.972,60.887,-6.211,8
2022-2024,1º,CIÊNCIAS BIOLÓGICAS (BACHARELADO),CIÊNCIAS BIOLÓGICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,57.494,109.221,72.515,11
2022-2024,1º,CIÊNCIAS CONTÁBEIS (BACHARELADO),CIÊNCIAS CONTÁBEIS (BACHARELADO),DARCY RIBEIRO,DIURNO,-61.448,119.586,9.195,47
2022-2024,1º,CIÊNCIAS ECONÔMICAS (BACHARELADO),CIÊNCIAS ECONÔMICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,77.597,145.766,95.724,12
2022-2024,1º,CIÊNCIAS NATURAIS (LICENCIATURA),CIÊNCIAS NATURAIS (LICENCIATURA),DARCY RIBEIRO,DIURNO,-85.326,34.196,-34.098,12
2022-2024,1º,CIÊNCIAS SOCIAIS – ANTROPOLOGIA / SOCIOLOGIA (BACHARELADO/LICENCIATURA),CIÊNCIAS SOCIAIS – ANTROPOLOGIA / SOCIOLOGIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-71.399,83.207,-4.288,46
2022-2024,1º,COMPUTAÇÃO (LICENCIATURA),COMPUTAÇÃO (LICENCIATURA),DARCY RIBEIRO,DIURNO,-38.084,41.108,-11.069,24
2022-2024,1º,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-17.417,61.044,17.442,18
2022-2024,1º,COMUNICAÇÃO SOCIAL – AUDIOVISUAL (BACHARELADO),COMUNICAÇÃO SOCIAL – AUDIOVISUAL (BACHARELADO),DARCY RIBEIRO,DIURNO,59.587,82.143,68.534,6
2022-2024,1º,COMUNICAÇÃO SOCIAL – PUBLICIDADE E PROPAGANDA (BACHARELADO),COMUNICAÇÃO SOCIAL – PUBLICIDADE E PROPAGANDA (BACHARELADO),DARCY RIBEIRO,DIURNO,65.284,96.261,84.184,6
2022-2024,1º,DESIGN – PROGRAMAÇÃO VISUAL/PROJETO DO PRODUTO (BACHARELADO),DESIGN – PROGRAMAÇÃO VISUAL/PROJETO DO PRODUTO (BACHARELADO),DARCY RIBEIRO,DIURNO,72.977,101.879,85.253,4
2022-2024,1º,DIREITO (BACHARELADO),DIREITO (BACHARELADO),DARCY RIBEIRO,DIURNO,84.527,196.085,123.655,39
2022-2024,1º,EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),EDUCAÇÃO FÍSICA CICLO BÁSICO (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-13.455,59.683,8.782,29
2022-2024,1º,ENFERMAGEM (BACHARELADO),ENFERMAGEM (BACHARELADO),DARCY RIBEIRO,DIURNO,10.069,100.035,40.671,38
2022-2024,1º,ENGENHARIA AMBIENTAL (BACHARELADO),ENGENHARIA AMBIENTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-59.99,74.607,8.425,16
2022-2024,1º,ENGENHARIA CIVIL (BACHARELADO),ENGENHARIA CIVIL (BACHARELADO),DARCY RIBEIRO,DIURNO,64.206,133.403,94.582,15
2022-2024,1º,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),ENGENHARIA DE COMPUTAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,117.303,148.865,129.891,10
2022-2024,1º,ENGENHARIA DE PRODUÇÃO (BACHARELADO),ENGENHARIA DE PRODUÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,20.292,141.026,61.352,31
2022-2024,1º,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,5.876,78.371,39.396,21
2022-2024,1º,ENGENHARIA ELÉTRICA (BACHARELADO),ENGENHARIA ELÉTRICA (BACHARELADO),DARCY RIBEIRO,DIURNO,9.882,199.246,77.534,23
2022-2024,1º,ENGENHARIA FLORESTAL (BACHARELADO),ENGENHARIA FLORESTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-75.402,37.86,-13.913,16
2022-2024,1º,ENGENHARIA MECATRÔNICA – CONTROLE E AUTOMAÇÃO (BACHARELADO),ENGENHARIA MECATRÔNICA – CONTROLE E AUTOMAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,38.467,130.743,75.626,19
2022-2024,1º,ENGENHARIA MECÂNICA (BACHARELADO),ENGENHARIA MECÂNICA (BACHARELADO),DARCY RIBEIRO,DIURNO,29.195,152.292,67.563,25
2022-2024,1º,ENGENHARIA QUÍMICA (BACHARELADO),ENGENHARIA QUÍMICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-2.839,132.643,47.08,30
2022-2024,1º,ESTATÍSTICA (BACHARELADO),ESTATÍSTICA (BACHARELADO),DARCY RIBEIRO,DIURNO,5.611,102.218,51.974,24
2022-2024,1º,FARMÁCIA (BACHARELADO),FARMÁCIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-6.952,108.318,44.295,36
2022-2024,1º,FILOSOFIA (BACHARELADO/LICENCIATURA),FILOSOFIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-44.994,42.937,-4.265,13
2022-2024,1º,FILOSOFIA (LICENCIATURA),FILOSOFIA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-40.435,-34.35,-37.392,2
2022-2024,1º,FISIOTERAPIA (BACHARELADO),FISIOTERAPIA (BACHARELADO),DARCY RIBEIRO,DIURNO,21.525,66.742,40.485,19
2022-2024,1º,FONOAUDIOLOGIA (BACHARELADO),FONOAUDIOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,0.739,51.189,19.737,9
2022-2024,1º,FÍSICA (BACHARELADO),FÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-66.596,163.906,38.758,23
2022-2024,1º,GEOFÍSICA (BACHARELADO),GEOFÍSICA (BACHARELADO),DARCY RIBEIRO,DIURNO,-42.883,41.236,5.993,4
2022-2024,1º,GEOGRAFIA (BACHARELADO/LICENCIATURA),GEOGRAFIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-81.814,30.578,-34.359,10
2022-2024,1º,GEOLOGIA (BACHARELADO),GEOLOGIA (BACHARELADO),DARCY RIBEIRO,DIURNO,-61.349,71.897,-1.126,9
2022-2024,1º,GESTÃO AMBIENTAL (BACHARELADO),GESTÃO AMBIENTAL (BACHARELADO),DARCY RIBEIRO,DIURNO,-39.971,-39.971,-39.971,1
2022-2024,1º,GESTÃO DE AGRONEGÓCIO (BACHARELADO),GESTÃO DE AGRONEGÓCIO (BACHARELADO),DARCY RIBEIRO,DIURNO,-85.768,-32.886,-58.409,3
2022-2024,1º,GESTÃO DE POLÍTICAS PÚBLICAS (BACHARELADO),GESTÃO DE POLÍTICAS PÚBLICAS (BACHARELADO),DARCY RIBEIRO,DIURNO,-67.945,36.637,-25.062,23
2022-2024,1º,GESTÃO DO AGRONEGÓCIO (BACHARELADO),GESTÃO DO AGRONEGÓCIO (BACHARELADO),DARCY RIBEIRO,DIURNO,-76.2,-6.311,-41.661,5
2022-2024,1º,HISTÓRIA (BACHARELADO/LICENCIATURA),HISTÓRIA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,26.142,140.922,53.409,13
2022-2024,1º,HISTÓRIA (LICENCIATURA),HISTÓRIA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-48.927,51.751,-11.442,17
2022-2024,1º,JORNALISMO (BACHARELADO),JORNALISMO (BACHARELADO),DARCY RIBEIRO,DIURNO,81.921,108.42,95.052,3
2022-2024,1º,LETRAS – PORTUGUÊS DO BRASIL COMO SEGUNDA LÍNGUA (LICENCIATURA),LETRAS – PORTUGUÊS DO BRASIL COMO SEGUNDA LÍNGUA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-78.663,14.479,-40.378,15
2022-2024,1º,LETRAS – TRADUÇÃO – INGLÊS (BACHARELADO),LETRAS – TRADUÇÃO – INGLÊS (BACHARELADO),DARCY RIBEIRO,DIURNO,-13.463,89.789,37.639,5
2022-2024,1º,LICENCIATURA EM ARTES CÊNICAS,LICENCIATURA EM ARTES CÊNICAS,DARCY RIBEIRO,DIURNO,-71.458,51.082,-29.502,6
2022-2024,1º,LICENCIATURA EM CIÊNCIAS BIOLÓGICAS,LICENCIATURA EM CIÊNCIAS BIOLÓGICAS,DARCY RIBEIRO,DIURNO,-71.592,67.748,-6.904,16
2022-2024,1º,LICENCIATURA EM FÍSICA,LICENCIATURA EM FÍSICA,DARCY RIBEIRO,DIURNO,-18.748,64.091,21.174,5
2022-2024,1º,LICENCIATURA EM MATEMÁTICA,LICENCIATURA EM MATEMÁTICA,DARCY RIBEIRO,DIURNO,-27.51,-25.265,-26.388,2
2022-2024,1º,LICENCIATURA EM QUÍMICA,LICENCIATURA EM QUÍMICA,DARCY RIBEIRO,DIURNO,-20.381,11.669,-4.665,3
2022-2024,1º,LÍNGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA (LICENCIATURA),LÍNGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA (LICENCIATURA),DARCY RIBEIRO,DIURNO,-58.017,72.187,-13.073,3
2022-2024,1º,LÍNGUA ESTRANGEIRA APLICADA – MULTILINGUISMO E SOCIEDADE DA INFORMAÇÃO (BACHARELADO),LÍNGUA ESTRANGEIRA APLICADA – MULTILINGUISMO E SOCIEDADE DA INFORMAÇÃO (BACHARELADO),DARCY RIBEIRO,DIURNO,-78.889,50.122,-17.494,11
2022-2024,1º,LÍNGUA FRANCESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),LÍNGUA FRANCESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA),DARCY RIBEIRO,DIURNO,-57.237,58.68,0.721,2
